iter	Passed	Remaining
198	1220	2226
199	1228	2223
200	1232	2214
201	1240	2209
202	1246	2204
203	1253	2199
204	1259	2193
205	1266	2189
206	1272	2182
207	1279	2178
208	1285	2171
209	1295	2171
210	1299	2161
211	1304	2153
212	1311	2149
213	1317	2141
214	1322	2133
215	1328	2127
216	1333	2120
217	1339	2114
218	1345	2106
219	1351	2101
220	1359	2097
221	1363	2088
222	1369	2082
223	1375	2075
224	1380	2067
225	1386	2061
226	1393	2056
227	1410	2066
228	1415	2058
229	1423	2054
230	1429	2047
231	1436	2043
232	1442	2036
233	1449	2031
234	1454	2023
235	1461	2018
236	1465	2009
237	1470	2001
238	1476	1995
239	1481	1987
240	1487	1981
241	1492	1973
242	1497	1965
243	1500	1955
244	1504	1947
245	1509	1938
246	1516	1933
247	1519	1924
248	1523	1915
249	1529	1908
250	1535	1902
251	1541	1895
252	1544	1886
253	1548	1878
254	1553	1870
255	1557	1861
256	1561	1853
257	1568	1847
258	1574	1841
259	1577	1832
260	1587	1830
261	1593	1824
262	1604	1824
263	1609	1816
264	1616	1811
265	1623	1807
266	1628	1799
267	1638	1797
268	1642	1789
269	1647	1781
270	1650	1772
271	1654	1764
272	1659	1756
273	1664	1749
274	1670	1743
275	1675	1736
276	1679	1728
277	1684	1720
278	1688	1712
279	1692	1704
280	1697	1697
281	1701	1689
282	1704	1680
283	1709	1673
284	1713	1665
285	1717	1657
286	1722	1650
287	1726	1642
288	1730	1634
289	1734	1626
290	1738	1619
291	1742	1611
292	1746	1603
293	1749	1595
294	1755	1588
295	1759	1581
296	1763	1573
297	1768	1566
298	1772	1558
299	1775	1550
300	1780	1543
301	1783	1535
302	1787	1527
303	1792	1521
304	1796	1514
305	1800	1506
306	1803	1498
307	1809	1492
308	1812	1484
309	1816	1476
310	1821	1469
311	1826	1463
312	1829	1455
313	1833	1448
314	1837	1440
315	1840	1432
316	1845	1426
317	1850	1419
318	1854	1412
319	1858	1405
320	1862	1398
321	1866	1390
322	1870	1384
323	1876	1378
324	1880	1370
325	1883	1363
326	1887	1356
327	1891	1349
328	1894	1341
329	1900	1336
330	1904	1329
331	1909	1322
332	1912	1315
333	1915	1307
334	1921	1301
335	1925	1295
336	1928	1287
337	1932	1280
338	1940	1276
339	1948	1272
340	1952	1265
341	1956	1258
342	1960	1251
343	1964	1244
344	1967	1237
345	1973	1231
346	1977	1225
347	1980	1218
348	1985	1212
349	1989	1205
350	1993	1198
351	1996	1191
352	2000	1184
353	2004	1177
354	2007	1170
355	2014	1165
356	2017	1158
357	2022	1152
358	2026	1146
359	2031	1140
360	2037	1134
361	2042	1128
362	2046	1121
363	2049	1115
364	2053	1108
365	2057	1102
366	2061	1095
367	2065	1088
368	2069	1082
369	2073	1075
370	2077	1069
371	2082	1063
372	2085	1056
373	2090	1050
374	2096	1045
375	2100	1039
376	2106	1033
377	2110	1027
378	2115	1021
379	2120	1015
380	2124	1009
381	2128	1002
382	2132	996
383	2136	990
384	2139	983
385	2143	977
386	2147	971
387	2151	964
388	2154	958
389	2158	952
390	2162	945
391	2165	939
392	2169	932
393	2172	926
394	2176	920
395	2180	913
396	2184	907
397	2190	902
398	2195	896
399	2198	890
400	2201	884
401	2205	877
402	2209	871
403	2212	865
404	2216	859
405	2219	852
406	2223	846
407	2227	840
408	2232	835
409	2237	829
410	2241	823
411	2245	817
412	2250	811
413	2253	805
414	2258	799
415	2261	793
416	2265	787
417	2270	782
418	2277	777
419	2282	771
420	2285	765
421	2291	760
422	2295	754
423	2300	748
424	2304	742
425	2310	737
426	2315	731
427	2319	726
428	2325	721
429	2333	716
430	2340	711
431	2347	706
432	2354	701
433	2361	696
434	2367	691
435	2373	686
436	2379	680
437	2386	675
438	2393	670
439	2398	665
440	2404	659
441	2412	655
442	2418	649
443	2425	644
444	2433	639
445	2438	634
446	2444	628
447	2451	623
448	2456	618
449	2460	612
450	2466	607
451	2472	601
452	2478	596
453	2482	590
454	2487	584
455	2492	579
456	2497	573
457	2502	568
458	2508	562
459	2512	557
460	2517	551
461	2521	545
462	2527	540
463	2533	535
464	2537	529
465	2547	524
466	2557	520
467	2563	514
468	2568	509
469	2575	504
470	2581	498
471	2587	493
472	2592	487
473	2596	482
474	2599	476
475	2605	470
476	2610	465
477	2614	459
478	2628	455
479	2636	450
480	2641	444
481	2650	439
482	2659	434
483	2668	430
484	2675	424
485	2687	420
486	2693	414
487	2699	409
488	2704	403
489	2714	398
490	2719	393
491	2726	387
492	2733	382
493	2742	377
494	2750	372
495	2754	366
496	2760	360
497	2765	355
498	2769	349
499	2775	344
500	2780	338
501	2787	333
502	2792	327
503	2799	322
504	2806	316
505	2813	311
506	2821	306
507	2826	300
508	2832	294
509	2837	289
510	2845	283
511	2852	278
512	2859	273
513	2862	267
514	2867	261
515	2877	256
516	2884	251
517	2892	245
518	2897	240
519	2904	234
520	2912	229
521	2917	223
522	2924	218
523	2931	212
524	2937	207
525	2942	201
526	2948	195
527	2954	190
528	2961	184
529	2965	179
530	2969	173
531	2974	167
532	2978	162
533	2982	156
534	2986	150
535	2992	145
536	2999	139
537	3006	134
538	3011	128
539	3015	122
540	3019	117
541	3028	111
542	3035	106
543	3042	100
544	3047	95
545	3051	89
546	3058	83
547	3062	78
548	3067	72
549	3073	67
550	3078	61
551	3084	55
552	3088	50
553	3096	44
554	3104	39
555	3108	33
556	3115	27
557	3121	22
558	3126	16
559	3133	11
560	3137	5
561	3144	0
