iter	RMSE
354	296.706447
355	296.67624
356	296.4352781
357	296.4280326
358	296.3978969
359	296.0878569
360	296.0584378
361	296.0325745
362	296.0180119
363	296.0004683
364	295.9778547
365	295.9517752
366	295.8306053
367	295.8167578
368	295.8050921
369	295.583558
370	295.5711495
371	295.5543528
372	295.4832008
373	295.4650346
374	295.4573249
375	295.443746
376	295.3965799
377	295.3871261
378	295.3783865
379	295.3689062
380	295.3586035
381	295.344077
382	295.3311744
383	295.279924
384	295.257066
385	295.251294
386	295.2368259
387	295.2256778
388	295.1480736
389	295.0911775
390	295.075711
391	295.0467172
392	295.0201394
393	295.0144258
394	295.0019516
395	294.9759013
396	294.963779
397	294.9226009
398	294.8892338
399	294.8694699
400	294.8459626
401	294.8411184
402	294.8318012
403	294.8035345
404	294.7905229
405	294.7743027
406	294.7486776
407	294.6857342
408	294.6823152
409	294.6319519
410	294.6107659
411	294.6009673
412	294.5811712
413	294.5669091
414	294.5556959
415	294.547742
416	294.523978
417	294.4813827
418	294.4687674
419	294.4463354
420	294.4254235
421	294.4195858
422	294.3847727
423	294.3181088
424	294.3050189
425	294.2548806
426	294.2444567
427	294.2397136
428	294.176209
429	294.0988467
430	294.0845703
431	294.0685571
432	294.0659001
433	294.0499237
434	294.0302563
435	294.0139208
436	294.0080169
437	293.990877
438	293.9668808
439	293.9315665
440	293.9178318
441	293.8727487
442	293.8414719
443	293.8366505
444	293.833331
445	293.8154791
446	293.7881266
447	293.7787592
448	293.7683592
449	293.7594737
450	293.7229253
451	293.7200259
452	293.6546724
453	293.632929
454	293.5920278
455	293.5685267
456	293.5610225
457	293.5510377
458	293.5441011
459	293.5417454
460	293.5309183
461	293.5116256
462	293.5053132
463	293.4988404
464	293.4643552
465	293.4537128
466	293.4247157
467	293.4138944
468	293.4046585
469	293.3960634
470	293.3828053
471	293.3794125
472	293.3666796
473	293.3547899
474	293.3441039
475	293.3349119
476	293.2982009
477	293.2947939
478	293.1751786
479	293.1610089
480	293.1528403
481	293.1073167
482	293.1018366
483	293.0963225
484	293.0930338
485	293.0642196
486	293.0463235
487	293.036975
488	293.0049981
489	292.9799745
490	292.923937
491	292.9043005
492	292.8974382
493	292.8945535
494	292.8862915
495	292.8650317
496	292.8581035
497	292.8333825
498	292.8176278
499	292.8152206
500	292.8039969
501	292.7789078
502	292.7618474
503	292.7528119
504	292.6827636
505	292.6805951
506	292.6732402
507	292.66705
508	292.6595055
509	292.6576409
510	292.6514545
511	292.6382601
512	292.6371151
513	292.6370415
514	292.5226871
515	292.4582412
516	292.4391535
517	292.4317203
518	292.4187773
519	292.4109269
520	292.4009434
521	292.3948964
522	292.3123663
523	292.2576023
524	292.2516439
525	292.2495546
526	292.1780169
527	292.1299872
528	292.0863569
529	292.0808427
530	292.0613794
531	292.0006317
532	291.9880694
533	291.983338
534	291.9449187
535	291.910629
536	291.8944577
537	291.8603636
538	291.8548177
539	291.8505738
540	291.8155425
541	291.8084869
542	291.7763861
543	291.7692205
544	291.7393081
545	291.7355166
546	291.7192852
547	291.6925327
548	291.6684319
549	291.6385004
550	291.6130057
551	291.6129412
552	291.6086937
553	291.5690052
554	291.5632376
555	291.5602654
556	291.5420547
557	291.5342846
558	291.5109458
559	291.4936291
560	291.4935784
561	291.4780355
